Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
LiXieGoh2009b.pdf,2009,,,,x,,Y,,,,,,Y,Y,,Y,
MendesLokan2009.pdf,2009,,,,x,,Y,,,,,,Y,Y,,Y,
YoonBae2010.pdf,2010,x,x,x,,,Y,,,,Y,Y,,Y,Y,Y,
BachmannBernstein2010.pdf,2010,,,x,,,Y,Y,,,Y,Y,,Y,Y,,
BachmannBirdRahmanDevanbuBernstein2010.pdf,2010,,,x,,,Y,Y,,,Y,Y,,Y,Y,,
Le-DoYoonSeoBae2010.pdf,2010,,,x,,,Y,,,,Y,Y,,Y,,Y,
FernÃ¡ndez-DiegoMartÃ_nez-GÃ_mezTorralba-MartÃ_nez2010.pdf,2010,x,,x,x,,Y,,,,,Y,Y,Y,,Y,
MuzaffarAhmed2010.pdf,2010,,,,x,,Y,,,,,Y,,Y,,Y,
Cuadrado-GallegoBuglioneDomÃ_nguez-AldaDeSevillaGutierrezDeMesaDemirors2010.pdf,2010,x,x,,,,Y,,Y,,,,,Y,,Y,
BakÄ±rTurhanBener2010.pdf,2010,x,,,x,,Y,,,,,,,Y,,Y,
Robles2010.pdf,2010,x,,,,,Y,Y,,,,,,Y,Y,Y,Y
KocaguneliGayMenziesYangKeung2010.pdf,2010,x,,,,,Y,,,,,,,Y,,Y,
AdamsJiangHassan2010.pdf,2010,,x,x,,,Y,,,,,,,Y,,,Y
FernKomireddyGrigoreanuBurnett2010.pdf,2010,,x,,,,Y,Y,,,,,,Y,,,Y
Sris-anCohenShangSoundararaj2010.pdf,2010,,x,,,,Y,,Y,,,,,Y,,,Y
WangLaiLiu2010.pdf,2010,,x,,,,Y,,,Y,,,,Y,,,Y
ZhangJiangChanTseWang2010.pdf,2010,,x,,,,Y,,,,,,,Y,Y,,
KoruLiuZhangEman2010.pdf,2010,,,x,,,Y,Y,,,,,,Y,Y,,
NguyenRexachThorpeWalther2010.pdf,2010,,,x,,,Y,Y,,,,,,Y,Y,,
SurekaJalote2010.pdf,2010,,,x,,,,Y,,,,,,Y,Y,,
Mende2010.pdf,2010,,,,x,,Y,Y,,,,,,n.a.,Y,,
LiuKhoshgoftaarSeliya2010.pdf,2010,,,,x,,Y,Y,,,,,,Y,Y,,
MurgiaConcasMarchesiTonelli2010.pdf,2010,,,,x,,Y,Y,,,,,,Y,Y,,
RamlerKlammerNatschlÃ_ger2010.pdf,2010,,,,x,,Y,Y,,,,,,Y,Y,,
SilveiraBeckerRuiz2010.pdf,2010,,,,x,,Y,Y,,,,,,Y,Y,,
StaronMedingSÃ¶derqvist2010.pdf,2010,,,,x,,,Y,,,,,,Y,Y,,
AzzehNeaguCowling2010.pdf,2010,,,,x,,Y,,,,,,,Y,,Y,
LetchmunanRoperWood2010.pdf,2010,,,,x,,Y,,,,,,Y,Y,,Y,
MittasAngelis2010.pdf,2010,,,,x,,Y,,,,,,Y,Y,,Y,
MittasKostiArgyropoulouAngelis2010.pdf,2010,,,,x,,Y,,,,,,,Y,,Y,
CaglayanTosunMiranskyyBenerRuffolo2010.pdf,2010,,,,x,,Y,,Y,,,,,Y,Y,,
